County,City,ZIP_Code
Floyd,Mount Saint Francis,47146
Clark,Nabb,47147
Floyd,New Albany,47150
Floyd,New Albany,47151
Harrison,New Middletown,47160
Harrison,New Salisbury,47161
Clark,New Washington,47162
Clark,Otisco,47163
Harrison,Palmyra,47164
Washington,Pekin,47165
Harrison,Ramsey,47166
Washington,Salem,47167
Scott,Scottsburg,47170
Clark,Sellersburg,47172
Crawford,Sulphur,47174
Crawford,Taswell,47175
Clark,Underwood,47177
Clark,Jeffersonville,47190
Clark,Jeffersonville,47199
Bartholomew,Columbus,47201
Bartholomew,Columbus,47202
Bartholomew,Columbus,47203
Jackson,Brownstown,47220
Jennings,Butlerville,47223
Jefferson,Canaan,47224
Decatur,Clarksburg,47225
Bartholomew,Clifford,47226
Jennings,Commiskey,47227
Jackson,Cortland,47228
Jackson,Crothersville,47229
Jefferson,Deputy,47230
Jefferson,Dupont,47231
Bartholomew,Elizabethtown,47232
Shelby,Flat Rock,47234
Jackson,Freetown,47235
Bartholomew,Grammer,47236
Decatur,Greensburg,47240
Jefferson,Hanover,47243
Bartholomew,Hartsville,47244
Jennings,Hayden,47245
Bartholomew,Hope,47246
Bartholomew,Jonesville,47247
Jackson,Kurtz,47249
Jefferson,Madison,47250
Jackson,Medora,47260
Ripley,Millhousen,47261
Decatur,New Point,47263
Jackson,Norman,47264
Jennings,North Vernon,47265
Jennings,Paris Crossing,47270
Decatur,Saint Paul,47272
Jennings,Scipio,47273
Jackson,Seymour,47274
Bartholomew,Taylorsville,47280
Jackson,Vallonia,47281
Jennings,Vernon,47282
Decatur,Westport,47283
Delaware,Muncie,47302
Delaware,Muncie,47303
Delaware,Muncie,47304
Delaware,Muncie,47305
Delaware,Muncie,47306
Delaware,Muncie,47307
Delaware,Muncie,47308
Delaware,Albany,47320
Fayette,Bentonville,47322
Wayne,Boston,47324
Union,Brownsville,47325
Jay,Bryant,47326
Wayne,Cambridge City,47327
Wayne,Centerville,47330
Fayette,Connersville,47331
Delaware,Daleville,47334
